Episode,Reward
1,-315.0
2,-490.0
3,-495.0
4,-405.0
5,-473.0
6,-360.0
7,-250.0
8,-355.0
9,-395.0
10,-203.0
11,-253.0
12,-393.0
13,-430.0
14,-270.0
15,-383.0
16,-360.0
17,-433.0
18,-390.0
19,-363.0
20,-288.0
21,-335.0
22,-405.0
23,-333.0
24,-348.0
25,1320.0
26,-410.0
27,-323.0
28,-355.0
29,-320.0
30,-338.0
31,-280.0
32,-460.0
33,-415.0
34,-235.0
35,-268.0
36,-290.0
37,-325.0
38,-360.0
39,-470.0
40,-370.0
41,-293.0
42,115.0
43,-355.0
44,-378.0
45,-263.0
46,-348.0
47,-315.0
48,-378.0
49,-405.0
50,65.0
